gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
SLC4A8,164,109,211,211,312,245
LAMC3,12,5,71,17,2624,1945
PTGER3,17,27,0,0,7,17
TNIP3,8,5,0,0,2,2
MAPK9,2229,1482,2447,2181,2012,1648
COL23A1,0,0,0,0,9,10
BCAR1,4558,2483,4506,4823,4108,2501
FAM160A2,919,465,549,458,493,382
HERPUD1,3023,1913,6112,5176,4223,2830
HOMER3,862,577,539,520,846,514
RAD51,829,987,592,560,369,332
POLQ,2347,2649,1620,1615,1656,1860
PIK3CB,1162,1133,1781,1847,1521,1498
CYBA,2971,1523,2943,3041,1948,1383
THOC3,3265,2330,2277,2002,1732,1120
HEBP2,2650,2011,1493,1978,1144,762
MPHOSPH9,908,1142,1256,1530,878,1083
PLEKHA5,1060,1165,874,947,1169,1460
PRSS8,76,40,94,159,107,68
SIKE1,3208,2763,2383,2353,3270,2167
RRP12,3682,2210,3311,3231,2823,1692
FNIP2,1679,1831,1983,2015,1179,1011
MSMO1,1785,1819,3948,3459,1543,1340
TTC17,2416,2945,2653,2670,2762,3285
ALX4,4,2,1,0,8,5
FSTL4,77,33,37,32,50,47
FOXN3,3471,2080,5589,5907,6054,4893
METTL24,0,1,0,0,3,0
AKR7A2,1816,1190,1480,1186,1117,617
MRTO4,3164,2293,2647,2484,1139,755
NNAT,3,1,0,0,2,0
USE1,405,284,222,224,170,116
MCF2L2,98,156,80,89,296,137
NRIP2,6,3,0,1,5,4
LAMA3,34,111,167,180,2199,1935
AP5M1,1493,1658,1404,1419,1526,1751
ANAPC4,1075,871,808,761,788,920
KCNQ1,10,5,1,2,46,29
TRAPPC3,699,750,727,742,979,762
THRAP3,6669,7260,7968,7499,7093,6413
PHPT1,1099,620,3636,2564,6525,3381
ENTPD2,145,65,1574,1538,208,140
LY75,101,84,54,59,87,70
ARID4B,2965,2367,1532,1485,3811,2867
OPN3,162,158,219,241,100,80
SDCCAG8,153,164,121,151,203,321
PTPRN,0,3,0,0,4,9
KIF1B,7072,6388,6136,6006,11019,10532
FOXC1,369,412,139,137,145,125
TBC1D22A,808,409,1594,1448,1084,754
SYNE2,1635,2241,1822,1808,2568,3037
PLEKHH1,1043,566,646,763,1214,1006
ATP9A,6130,4267,4845,5000,2423,1723
SPO11,0,0,0,0,0,0
CBLN4,0,2,0,0,0,0
CHRDL2,87,25,6,1,12,19
FAM168A,2344,1612,3441,3220,4549,3251
RELT,1500,820,714,583,585,318
GALC,22,15,16,26,26,21
NOP58,5002,3792,4706,4076,2501,2307
SZRD1,5368,2802,4180,3263,4717,3326
KCNH2,11,4,0,0,3,4
CUL1,2234,2171,3176,2893,1897,1471
FAM114A2,220,353,292,231,487,475
CYFIP2,99,136,2505,2084,8837,6100
TAB2,2425,2959,2433,2227,2374,2699
GINM1,1496,1364,834,848,952,933
EIF2AK2,2522,2906,2430,2619,2143,2820
USP36,6127,3563,4399,4633,3413,2130
KMT2C,3012,2487,4547,4822,6148,4216
MCOLN3,100,177,3,1,81,74
CCDC85A,11,0,0,1,10,0
PUM2,7669,6664,8410,8087,7384,7042
MRPL43,1362,1232,1141,917,1219,850
ITIH4,9,1,9,13,2,4
ITIH1,26,3,38,26,30,21
HPF1,358,412,212,247,156,146
ZFR,7571,5574,6164,6168,6931,5204
ZNF280C,466,684,235,256,356,406
NPFFR2,0,6,0,0,0,6
PHF21B,17,22,2,1,53,40
TRAF1,188,108,46,53,88,55
RC3H2,4466,4861,3061,2909,4083,3982
KIFC1,0,0,0,0,0,0
IL17RB,4907,4664,2868,2668,5488,4047
TRAF3IP2,211,216,402,312,424,315
GYG2,1223,769,1356,1061,329,187
DCBLD2,5611,6606,4614,5776,8848,10164
SERPINB3,0,2,0,0,3,3
SOAT1,3126,4459,1522,1828,1344,1721
PKP2,1512,1295,2705,2355,1749,1566
MSH4,10,12,10,13,9,5
F7,166,66,431,457,124,73
GDI2,9621,11203,9546,9485,8364,8566
PRDM1,15,10,0,0,11,87
ATG5,611,699,621,565,481,605
TMCC3,12,12,0,0,12,11
PITHD1,1255,1188,663,718,731,675
MTA3,1612,1365,2088,1956,3134,3514
USP13,2793,3081,2555,3413,2626,2160
ATP11B,2376,3066,926,1051,1284,1196
LAMC2,23,24,4,2,23,29
CDK14,73,133,4,12,71,24
SEC61A1,15648,11897,14620,13372,19778,13843
PPP1R12A,2398,2995,2130,2074,2496,3421
RASGRF1,194,113,26,74,512,277
CAMK2B,77,7,23,8,50,85
CROCC,704,299,875,860,977,687
POLR3E,6158,3961,6032,5594,4042,2626
ATP2B4,1520,1033,377,516,366,739
ZC3H11A,5509,6403,6472,5891,5599,5121
RIOK2,803,685,617,667,465,570
YIPF1,582,679,362,388,706,659
NDC1,3244,3583,3460,3609,2775,2620
DGKG,487,362,294,298,209,130
FLYWCH1,863,462,813,777,3028,2287
UNKL,1812,943,1622,1401,931,528
TBXAS1,254,206,39,43,34,47
PARP12,736,430,527,575,313,262
ALDH18A1,6896,5969,9295,8130,3235,2034
TARBP1,1977,1839,1508,1936,1579,1850
GATB,1703,1160,1518,1376,1412,972
MXD1,1193,1110,588,576,1289,1005
CDK17,1088,1554,891,880,735,1074
DNAJC25,434,484,375,422,325,359
SLC2A3,20001,19078,50209,53331,11484,9326
PSD,25,29,9,12,7,1
CTDP1,1476,807,1146,958,1752,1017
YBX3,4547,2933,3801,3880,9352,7390
STYK1,4,31,0,0,2,4
WNK1,8460,7137,11843,13136,7444,5985
RPS17P5,0,0,0,0,0,0
CCAR1,4186,4604,3348,3507,4946,3980
OGFR,3327,2079,3422,2790,2171,1209
GNA15,4,1,0,0,8,5
CREB3L3,268,152,122,79,32,20
PIGV,633,439,426,411,472,369
PTPRU,1898,802,4786,3775,12358,9137
SNRNP40,2797,2689,2508,2178,1194,905
RIMBP2,7,13,1,2,10,2
COL11A1,16,24,1,0,19,17
QSER1,4536,6197,4111,4502,3480,4177
MPC1,1415,1354,1852,1613,1872,1256
ACAA1,3145,1849,3478,3386,1675,1023
BCAT1,2654,2043,4334,4093,279,208
HDAC7,1653,879,1415,1435,1277,904
LZTS1,5,9,4,3,18,18
PRDM6,7,168,1,3,5,46
WNT8A,1,3,0,1,1,0
SPAG4,684,316,249,320,355,280
NCKAP1,5118,5946,6364,6860,4042,4509
MRPS35,1917,2364,2060,2146,1573,1478
GUCY1B1,1,2,0,0,4,3
SFSWAP,2680,1740,3043,2559,3096,2053
TNK2,480,490,443,655,713,509
MON2,1978,2125,2382,2953,5257,6260
CDH3,64,32,43,37,81,99
ARSF,0,1,0,0,1,1
GPBP1,2444,2736,1840,2072,2109,2524
DGAT2,2425,1547,2559,2236,5963,4004
ZNF112,191,298,154,208,163,151
CS,10183,8526,10688,9343,5731,3580
LTK,2,1,1,0,9,2
MRPS24,2366,1901,1846,1495,1351,802
ELMO2,2239,1969,1722,1722,2646,1867
WAPL,4662,4610,3056,3618,3228,3243
VMP1,12605,17261,8821,9613,20038,21007
APPBP2,3414,2913,1832,1990,3386,3121
POLD1,2813,1560,2518,2568,1096,474
SEZ6,2,2,0,0,13,18
EIF4B,19904,17913,38703,34898,19845,13666
SLC6A16,31,17,0,26,4,6
BICRA,856,435,499,533,634,332
SPHK2,474,251,618,462,563,340
RPL18,25721,16016,23548,17908,19854,11098
CA11,275,145,4,3,64,13
ISOC2,985,671,1019,820,2425,1494
U2AF2,9166,5191,7025,5915,5299,3128
EPN1,5525,3109,4624,3996,3857,2376
MED29,2971,1533,1013,959,1963,1234
GSC2,0,0,0,0,0,0
ZNF275,1177,929,1572,1420,1445,1113
MTMR1,998,877,616,624,1247,1218
GPC1,585,333,1278,1116,10363,6678
ADCK1,203,114,201,198,293,224
HAGH,963,551,1577,1143,3769,2110
RNF4,4467,2958,3312,2555,3395,1890
CASP8,1636,1767,878,1092,1402,1532
LIMCH1,35,31,7,1,25,54
INTS13,975,1082,1142,1270,1073,747
TM7SF3,834,926,1770,1770,7415,7842
DLX3,20,29,7,5,7,9
SPA17,178,250,115,121,324,318
TSPAN32,5,3,20,13,47,4
CCN5,3,2,0,0,2,1
DMRT3,2,0,0,0,0,1
ST3GAL6,556,443,812,796,650,336
ATP2C2,3,43,0,2,20,3
NGFR,269,119,258,445,1039,823
CDON,1160,1097,947,1099,457,268
TAF2,2305,1199,1871,1371,1549,1322
HIPK2,11430,7046,14651,13643,8230,5521
TNPO3,2715,2254,3029,2866,2451,1830
RFXANK,1073,740,855,592,607,370
TMEM161A,1087,570,1076,906,806,538
LPAR2,46,26,17,29,132,56
CTSA,9840,6167,7671,6556,5617,3454
SUGP2,3040,2067,3669,3723,4187,2663
SLC12A2,2728,2619,930,1382,644,952
SNX24,259,245,261,395,452,575
EYA2,40,21,0,0,8,20
CNN2,5984,3750,8975,8557,7633,5307
ABCA7,483,358,557,588,1352,836
SNCAIP,5,18,0,0,26,6
DDX20,1051,1295,836,897,578,545
BTBD1,2161,2128,1830,2081,2033,2194
FAR2,2,19,0,0,24,55
BCAS1,295,265,312,330,78,51
POU1F1,0,2,0,0,5,4
CHI3L2,13,14,10,4,22,8
SBNO2,1574,908,1569,1282,808,675
PMS1,1559,1333,1315,1815,901,1103
HMG20B,1452,845,1281,1118,831,521
CALCRL,24,10,20,4,12,17
TAF11,1647,2262,714,642,991,997
ANKS1A,2464,1447,2383,2120,2318,1663
AP3D1,4746,2848,8085,7510,8062,5115
ZNF76,1012,628,370,333,1102,609
SLC9A3R2,165,81,1188,1181,475,308
NTHL1,159,90,835,668,194,111
UHRF1BP1,4750,3585,5316,4872,2568,1931
GNAI3,4149,4394,2800,2844,2859,2920
IPO5,17064,17082,17497,17873,12659,10615
OAT,3039,3744,1896,1825,1328,1141
WDR3,1766,1757,1985,1891,1264,929
PKN2,2405,2302,3006,2832,2436,2968
WDR18,1808,1215,1954,1937,983,468
TRAM2,9683,8176,9576,9806,9187,7509
NTN1,31,17,8,1,2170,1803
GLP2R,16,17,0,6,5,7
MCM10,4127,3480,1791,1645,898,499
DGKA,209,158,190,112,2520,2030
ERBB3,11216,6341,11260,11620,4211,2972
ROPN1,5,7,0,1,1,7
ANKRD44,129,27,17,11,58,17
KARS1,6190,6809,4296,4335,3681,2926
ADAT1,1120,876,612,677,1080,843
PDIA5,2222,1578,1958,1791,1520,1161
TBC1D22B,935,933,1234,1085,1490,1133
NDUFB4,2201,1427,2155,1743,1796,1043
SPEN,5503,4545,6052,7034,4824,3674
MYLK,923,482,3460,2979,956,891
ZC3H15,4224,5612,3586,3592,3000,3572
MAP2K4,1282,2199,1391,1527,1478,2314
PACC1,522,248,468,385,237,144
SNAP91,13,3,2,0,13,12
SLK,2330,2940,2108,2242,2202,2303
CYB5R4,1778,1279,1438,1082,1213,604
COL17A1,13,18,0,1,60,134
GSTO2,69,60,54,53,47,38
SEC61A2,359,385,169,210,331,317
PRKCQ,107,98,55,43,94,111
TLE2,29,13,6,16,15,12
ASB1,5240,2772,3003,2750,5228,2922
FAM107B,2945,3374,2959,3417,2208,2579
ME1,8,13,0,0,4,10
TBC1D1,3271,2303,1631,1808,1435,965
CDK13,2824,2672,2464,2650,1985,1891
MTHFD2,5283,5819,6503,7583,5390,4901
SLC9A7,758,507,811,734,789,565
FOXJ2,1209,725,903,828,748,575
YBX1,39228,26833,23802,19892,15885,10338
PDE4A,408,185,810,755,241,156
PPP2R5A,870,1243,584,837,591,725
CTNNA2,27,19,1,0,21,12
ELAVL1,4557,2983,4858,4210,3777,2502
TIE1,89,21,44,30,48,42
DIP2B,4044,2830,7711,7110,6141,4001
SMARCD1,4476,3119,3569,3179,3393,2051
KDM4A,1996,1983,1089,1095,2266,1695
NFYC,1922,1343,1700,1691,2192,1591
ZMYND12,6,8,2,0,15,12
SLC9A3,0,1,1,1,20,21
NGEF,289,141,520,522,122,92
ASPM,8111,9214,6844,6294,5154,5171
CD84,5,13,6,5,23,12
ELOVL1,1487,967,1477,1177,2120,1387
SPI1,0,0,0,0,2,3
POLR1H,676,413,1111,842,791,506
MPPED2,2,5,0,0,3,2
CLDN18,24,24,0,0,9,25
ZBTB11,2313,2244,1268,1215,1921,1976
ATXN3,1022,1618,1174,1266,3253,3858
GOLGA5,935,1241,857,972,1258,1415
FGFR2,299,222,193,206,1016,701
LRRC40,1047,1078,825,834,933,1063
ISOC1,2308,2434,1685,1497,1241,968
EML1,189,214,132,99,179,111
TRMT11,1623,1317,1547,1596,1345,1138
THUMPD1,3486,2606,4590,3799,3839,3227
MSANTD3,985,565,885,808,942,621
KIF26A,1,0,0,0,4,0
ATG2B,976,794,983,1571,2818,2298
ARFGEF1,1585,1504,2559,2889,3844,3685
ACSM2B,50,55,69,42,72,47
ZFAT,665,374,443,473,572,366
MTFR1,1376,1288,1551,1417,724,585
STAG3,230,127,144,237,247,214
FECH,1118,733,1006,1012,1053,575
MYO9A,1206,1535,893,1094,1150,1483
DDX3Y,5933,6548,4070,4132,4177,4137
PFKP,346,97,544,545,160,101
IDI1,3966,3883,3716,3136,1944,1421
SP100,453,405,389,405,414,429
KLF6,6155,3866,6170,5371,4563,2702
PLPP1,680,423,356,477,745,703
NEO1,1736,1709,1179,1081,1771,1178
TRAM1,6102,6605,6584,6575,4317,4448
PHKA1,495,541,557,586,303,314
TNFRSF1A,2261,1051,3292,3042,2857,1659
CACNB1,335,97,168,146,130,102
EVI5,921,918,1180,1072,1172,1072
STOML1,81,40,65,83,190,99
PKM,56202,36690,43172,38762,29177,18918
DHX29,1124,1443,1180,1137,1068,1137
DNTTIP2,2494,4372,1291,1332,1499,2164
METTL22,2142,1265,1355,1675,2314,1552
TP53BP1,1669,1312,1185,1330,2382,2707
TRO,1077,680,165,143,345,234
RRP15,1166,1164,1156,1336,793,1112
RHOA,10908,10143,10283,9557,10702,8102
DHX8,3717,3358,3179,2642,3819,2679
PMS2P4,115,88,43,31,86,62
PRKCZ,603,279,1430,1498,1297,743
ZFY,759,779,720,825,475,366
IARS2,4858,5613,5438,5467,4534,4537
SYT1,16,22,0,0,48,25
NAV3,56,134,24,48,67,159
IDH3G,751,385,809,607,725,359
ROGDI,611,349,506,404,592,321
PDZD4,19,4,3,2,37,16
ATP2B3,0,0,0,4,6,2
ROCK1,3100,2956,3011,3205,2574,2842
CBFB,4120,3329,2342,2232,2279,1667
PDK3,283,341,263,343,238,260
HYAL2,2847,1659,2640,2516,1795,980
HDAC4,1590,684,2077,2223,1559,1336
RASSF1,670,432,677,589,419,242
FGFR3,3226,1639,10003,10314,5405,3263
IFI35,850,510,728,568,295,210
HEATR6,1318,1171,1261,1010,1250,1114
COASY,7002,4037,6338,5128,4291,2774
PLEKHH3,780,490,548,379,236,90
MEF2A,1738,1369,1397,1358,1895,1564
OTUD5,2092,1459,1220,1139,1874,1135
TFE3,1398,943,1669,1387,1389,943
TBC1D25,322,140,461,439,284,254
ACSL4,18169,20332,18328,20040,17211,17817
INPP5A,921,463,2032,1749,1540,917
GPKOW,1012,661,721,610,796,535
GRIPAP1,1969,1426,1140,1175,1672,1285
FTSJ1,1220,819,1219,1109,711,512
PRR11,2934,3564,2034,2197,2670,2707
REEP1,26,18,5,12,16,21
ATP11A,4336,3015,8994,8994,3631,2619
POLR1A,7629,6069,9500,8926,10721,7274
LAPTM4A,4947,6341,3718,3301,3708,3678
TTC7A,2590,1470,2397,2034,2416,1939
IP6K2,2985,2219,1997,1603,3726,3017
STON1-GTF2A1L,18,29,0,1,0,0
SRBD1,1497,1620,825,914,1535,1486
KIF2A,1633,1930,980,1158,1205,1095
RASGRP2,46,44,0,0,3,2
PSME4,8798,10956,8919,9885,11254,13330
IFT80,859,832,587,733,520,681
ERLEC1,3645,3621,3079,3204,3116,2717
PPP2R5B,361,146,171,137,223,174
PYGM,19,26,18,3,5,8
PAGE1,1,3,0,0,0,0
PITX1,959,558,1073,1136,439,306
TRPC7,6,3,0,0,1,3
MAST4,485,451,690,548,6975,6573
ADGRF5,18,13,0,1,19,33
SDK2,44,13,0,0,52,75
ADAM7,10,2,0,0,4,8
NUP133,3255,2553,2957,2638,1777,1321
NUCKS1,12579,14009,9304,9317,12910,14209
VPS35,7610,9430,5568,5388,5517,5869
DNAJA2,7488,7631,5273,5166,7608,6274
BCL3,742,447,649,419,662,335
KCNAB2,740,407,1573,1313,1651,1149
ABCC9,1069,1596,831,1113,1609,2206
GAL,0,1,0,0,1,1
CLEC2D,442,246,170,226,199,305
FUNDC1,409,477,273,271,403,403
MAOB,1308,1456,729,777,809,702
RORA,830,540,1127,1201,983,761
DRD4,3,1,8,0,10,0
TGFBR3,8687,8174,13347,14324,10714,11200
HES2,36,13,30,86,261,274
ATP1B3,4481,5457,2965,3031,1700,1584
NEDD4,2022,5398,1399,1846,2649,5984
PIGB,201,256,205,204,215,171
MAPK6,9486,10573,8275,8773,8719,7987
GNB5,1464,826,584,579,1237,785
RAB27A,479,521,273,255,578,474
HDHD5,0,2,1,5,1,2
UFD1,3393,2424,1790,1613,2794,1634
GUCY2C,9,5,0,0,1,4
PHRF1,3347,1816,3247,2859,2833,1774
ELP1,4655,3827,10312,8326,5253,3697
NUCB2,1648,1690,696,854,492,387
PFN2,3963,3899,2476,2661,2002,2149
PTPN3,819,738,1780,1802,2365,2003
SPTB,184,100,133,127,167,144
DAPP1,16,17,10,13,16,18
FGF10,3,4,0,0,2,2
SLC44A1,2992,3327,3475,3956,2065,2104
TMEM260,534,245,396,731,561,644
SMG6,1910,1201,1863,2003,3552,2798
EXOC5,2741,3277,2586,2352,2740,3515
CLTCL1,498,368,500,639,545,405
FGF22,12,1,8,3,11,5
FSTL3,1647,920,798,598,1871,1352
DGCR2,2604,1565,3196,2409,1981,1319
RNF126,1992,1031,2752,2451,1770,1167
MNT,1851,911,1265,1099,1163,593
ZXDC,1159,901,1361,1361,2304,1613
JMJD6,1521,898,1735,1532,1055,572
POLB,737,809,625,541,584,474
ST6GALNAC1,1,0,0,0,6,0
WIPI1,1914,1706,812,934,1231,933
FRMPD1,102,52,115,101,99,76
GBA2,2344,1482,2222,2335,2387,1477
NDST1,4719,2503,4010,4326,3742,2194
ASNS,335,316,1808,2535,352,380
AP3M2,490,425,565,560,565,445
CNGB1,24,15,4,2,1332,1022
ST6GALNAC2,19,14,1,6,139,84
CHAT,3,1,0,0,2,0
PABPC1,42314,37934,42566,35761,38742,34701
TESK2,351,252,313,316,256,291
CFAP20,3544,2184,2409,1855,1681,1122
CSNK2A2,6975,5718,6034,6289,6358,6285
PTPN21,667,501,765,606,490,331
EIF2B3,348,344,601,609,291,361
CAMK2A,9,6,4,7,9,4
TCOF1,6573,3888,6017,5227,3630,2322
CDC42,9702,10568,6836,6324,10017,9674
OSBPL3,1982,1656,2302,2687,7065,6478
EPHA8,0,1,1,1,0,1
SLC12A3,11,7,64,55,16,11
RAD18,1954,1538,1085,800,782,572
ATP2B1,3720,3890,3811,3804,1592,1477
TRPM5,1,3,2,1,27,17
NCK2,1347,675,1609,1401,638,460
MAP4K4,18352,15265,22909,23384,28616,22631
MGAT4A,5009,5117,5873,6376,3039,2983
RPL31,16832,14509,19129,17314,17396,10710
WDR1,12461,6408,13186,12451,14924,9606
SNX13,1332,1008,1574,1647,1752,1347
MS4A12,0,2,0,0,2,0
ARHGAP10,50,50,28,9,272,208
RPS6KA2,39,7,95,119,89,9
ING3,207,306,214,313,166,240
VASH1,222,193,50,26,15,12
LMCD1,817,580,501,490,834,538
BUD23,3107,2012,1928,1716,1197,759
SEL1L,3209,2068,6643,6877,6269,4134
TRIP13,2229,1809,1260,1337,742,586
ATP6AP1,3879,2592,3163,2611,3393,2183
TCF3,5386,3019,4432,4451,2027,1550
TRIB2,114,104,6,8,40,23
DAZAP1,4680,2643,6805,5680,3712,2248
MBD3,3177,2014,2934,2688,2475,1366
PRLH,0,0,0,0,0,0
HLTF,2022,2454,1464,1306,1087,1165
FAM50A,1549,790,990,984,2096,1440
FAM3A,368,228,328,283,652,551
CPSF1,2530,1463,5237,4785,2959,1805
MYO3B,57,99,0,1,45,48
CYBRD1,190,144,36,44,71,43
CDH19,1,11,0,0,4,2
PDCD2,2996,3074,2114,2225,1785,1671
SLC6A15,0,3,0,0,4,2
RDH11,2543,2809,2348,2100,2481,2219
PRKACA,3476,2188,1679,1542,6103,4148
ADGRL1,652,483,381,339,378,225
SPP2,12,18,9,5,18,29
ACTN1,9004,5122,13545,14650,8772,5761
ZFYVE26,2097,1614,2126,1764,2493,2138
RPS6KA6,15,11,6,14,18,14
EPN2,1616,837,1177,1032,1064,839
PTPN18,770,484,1257,1287,523,416
LIMS2,230,138,145,83,104,82
ASIC4,3,1,2,1,33,15
SPEG,77,55,50,30,88,81
LNX1,22,20,14,11,30,10
ALDH3A2,4406,4562,4202,4262,2301,1883
TFRC,16288,20824,19750,22494,13307,13591
SREBF1,1913,970,3349,3272,1661,1158
TRPC5,6,6,0,0,1,10
AFF4,6048,6206,4066,5577,9865,7496
UBE2D1,1103,996,586,601,625,585
MPP5,941,1052,1182,1364,1041,1056
RHOBTB1,1998,1823,3669,3483,2273,1652
SMC1A,7401,8176,5926,6253,7969,4900
HSD17B10,1407,932,1317,879,1317,833
MARK2,3088,1681,2324,2086,2495,1781
HMMR,703,944,855,1050,2409,2240
CHFR,1918,962,1325,1301,2084,1380
TRHDE,14,30,0,2,19,21
P4HA2,1837,1388,2070,2150,8542,5642
FCGR2B,12,6,0,0,8,8
NFATC3,5387,6548,5072,5877,4578,4493
TRNT1,1310,1501,866,929,946,1163
ACADVL,8990,5424,4970,4706,12539,7294
STK10,1237,572,742,841,1027,665
FBXW11,2239,2215,2062,2604,3089,2968
ACAP1,11,17,16,4,10,12
CRMP1,4,2,1,0,2,3
EVC,445,236,1143,1107,374,234
DERL2,2435,2024,1302,1290,1024,721
SIDT1,18,11,3,0,47,29
NDE1,3283,2393,3516,3467,5209,3707
IRAG1,29,20,0,1,20,24
TMEM38A,353,235,142,135,112,84
AP1M1,2411,1345,2264,1916,2786,2174
PVR,2107,1377,3111,3214,1280,799
XRCC1,1736,1055,1228,1030,1496,1018
SCARB1,8367,4673,8287,10762,8135,7638
CYP2W1,206,130,1836,1485,528,384
MCM2,10884,6448,8655,6478,2183,1206
MOV10L1,3,8,5,10,10,10
PANX2,158,57,256,264,157,113
SELENOO,371,187,476,394,320,199
TP63,6,39,0,0,29,24
ALPK1,97,95,27,25,63,49
LLGL2,2233,1374,3426,3103,2453,1510
PDE8A,1247,1279,1727,2013,2000,1934
CLCN4,1006,453,352,548,444,302
NLE1,1360,690,2228,1750,1332,807
SDHA,6741,4378,8657,8509,11609,8804
SMARCE1,4135,3408,4556,3769,3910,2531
FNDC8,7,1,0,0,3,4
GSDMB,303,267,189,233,223,165
KDM5A,4219,3841,3183,2686,4305,3769
ADAM11,76,30,45,43,50,23
PPP2R3A,154,112,15,25,113,157
FERMT2,1861,2361,2306,2138,907,1043
ABCB11,21,24,0,0,38,39
DHRS9,0,6,0,0,2,2
CD5L,5,1,0,0,2,2
PTGS2,0,1,0,0,2,3
IGF2BP2,5021,3399,6345,6705,4526,3689
MAP3K13,990,1121,747,764,732,652
ST6GAL1,10711,8693,10647,10535,11011,7826
TBX21,4,6,0,0,9,1
FRY,1254,669,1571,1698,715,594
PICALM,5216,5624,4299,4672,5482,6797
NSF,2407,2806,1593,1654,3018,2547
GLI2,5,4,0,0,5,10
CLASP1,3939,3696,5158,5304,4101,3437
MRPS34,2003,1236,2642,2205,1055,615
NOTCH3,81,44,69,36,454,384
CLNS1A,4388,4368,3723,3414,3224,2840
PPP2R2C,347,304,310,319,803,615
TEAD2,1680,912,1083,979,472,160
EED,1533,1543,1062,1051,2327,2666
CDHR2,288,81,748,770,350,313
SNCB,1,3,0,0,1,1
TSG101,2125,2101,1527,1381,3200,2282
NCBP3,2935,1998,2445,2263,2158,2746
ATP2A3,10,3,20,11,46,69
CA12,19,29,20,10,40,29
MGLL,67,53,66,69,96,87
NTN4,722,219,504,294,1764,1501
BCS1L,1160,766,1066,1022,635,400
NUAK1,835,463,516,632,502,504
DPP8,2794,2270,1645,1773,2006,1919
SLC24A1,384,189,488,431,618,385
ZNF532,25,24,28,31,102,36
SCARF1,7,10,6,5,22,17
LMAN1,15807,12692,15948,14891,8671,6848
HACD3,6755,8930,5453,5368,4740,4456
IPCEF1,8,15,13,0,13,23
ZZEF1,2609,1985,1971,2228,3720,3230
NOX3,12,10,4,7,10,8
ENO1,57532,39712,78601,67867,47884,31410
SLC12A1,13,5,0,0,1,21
MYDGF,4356,2836,3424,3113,1940,1182
ANO8,371,215,290,306,403,257
TUBE1,222,179,706,659,277,326
ARHGEF10L,2968,1632,2831,2789,7182,4894
TXK,12,7,2,4,9,8
WSCD2,3,16,1,0,1,3
KCNQ2,10,3,7,0,4,34
TACR2,6,4,0,0,12,16
ACTR6,640,624,463,356,426,350
TIPIN,313,443,209,199,133,257
SRI,9,5,0,3,6,3
EIF4G3,3045,2217,2964,3618,3424,3093
NUP37,843,1083,688,717,843,974
SEMA3A,71,104,95,200,137,124
GTSE1,2460,1577,2217,1654,2454,1507
SEMA3C,32,4,69,27,78,58
TTC38,1748,1096,3284,2823,841,550
ACAT1,4435,2812,5047,4245,2344,1594
GRAMD4,396,433,852,682,1232,1071
CELSR1,184,174,382,346,213,174
WNT8B,12,11,3,1,3,3
ZNF638,4903,5200,4640,5947,5609,6578
SLC25A40,633,541,719,740,344,253
TIMM21,1122,1004,942,830,2766,1831
ADD2,74,44,24,19,53,60
FGF4,2,2,0,0,2,1
RASAL2,912,962,1085,1185,1829,1675
VPS9D1,380,175,210,240,294,250
ZNF37A,1977,1236,2063,1723,7817,5992
MARK3,1371,1078,1522,1757,3370,3390
SLC25A3,19128,11600,18086,13438,11158,6780
FNDC3B,8942,9205,15406,18413,11459,9471
FOSL2,1477,675,1241,1076,4644,2333
CACNG5,3,0,0,0,0,5
CACNG4,26,16,36,45,7,2
FRYL,1671,1579,1797,1495,1772,1655
TMEM131,2735,2607,3919,4118,7096,7482
FSCN1,23559,12794,15403,11765,12805,8313
ACTB,128490,92368,135459,114052,51655,33362
MOCOS,1612,1375,1158,1506,1753,1766
PLD1,3888,5552,2725,3569,5315,6765
ATP12A,1,2,0,2,2,5
WDR62,2365,1365,1692,1634,1223,726
DLG1,2492,2652,3263,3199,3354,3974
RAB7A,8547,7023,6702,5714,9279,6631
BCAP29,511,672,808,693,776,857
SEC31B,207,146,183,176,306,175
SART3,4276,2378,3008,2535,3525,2408
ARHGAP15,7,4,1,0,4,61
TUBA3D,3,1,0,0,4,2
PAX2,2,0,1,1,8,0
EXOSC7,987,915,1072,993,691,621
KIFAP3,373,449,281,355,298,292
MKRN2,1586,1302,1415,1310,1152,809
MCM6,2148,2085,1982,1834,339,249
REXO2,1983,2072,1084,1128,2707,2879
RBM7,1781,2669,1447,1641,1596,2509
RBMS2,468,518,890,1168,533,426
BAZ2A,9151,5941,6563,6027,7860,5197
PTPN23,2776,1566,2529,2685,2881,2141
MLH1,1688,1624,1232,1244,3154,3289
UNG,4621,2864,3611,3166,672,557
FMO4,5,13,11,6,11,6
KLHL20,542,498,457,429,653,388
RGS11,20,9,4,4,1,6
SLC46A1,1977,1247,1898,1537,1201,721
PLXNA2,1521,557,1551,1676,2395,2522
SPAG5,3668,3727,3171,2573,3148,2184
ANKRD13A,1929,2259,1362,1508,2509,2391
TPD52,1111,925,1445,1798,748,433
ACACB,675,442,497,634,793,417
TRAF4,2397,1461,3015,2729,3837,2459
PAG1,88,64,17,28,19,17
GPATCH1,881,731,597,590,547,389
ICAM3,620,264,499,403,144,66
