gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
SYNE2,411,515,336,364,306,404
PLEKHH1,23,47,21,57,23,25
ATP9A,796,1010,613,946,716,784
SPO11,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0
CHRDL2,2,16,8,3,2,10
FAM168A,793,890,630,806,570,636
RELT,77,124,71,117,77,114
GALC,362,403,260,450,361,306
NOP58,1856,2164,1292,1647,1432,1587
SZRD1,2272,2604,2065,2346,2214,2193
KCNH2,11,15,8,27,36,25
CUL1,1198,1465,1000,1211,1028,1170
FAM114A2,426,468,330,503,400,344
CYFIP2,36,36,8,45,53,60
TAB2,1362,1536,928,1204,1000,1076
GINM1,1271,1328,938,982,837,811
EIF2AK2,1214,1974,1171,1671,1217,1061
USP36,768,895,393,737,566,487
KMT2C,712,835,449,750,451,601
MCOLN3,10,6,6,13,15,14
CCDC85A,7,1,7,20,2,13
PUM2,1353,1618,1097,1502,1008,1122
MRPL43,681,811,660,599,622,572
ITIH4,25,9,6,23,18,6
ITIH1,0,1,1,1,1,1
HPF1,404,457,268,340,330,349
ZFR,1879,1908,1403,2144,1379,1826
ZNF280C,80,98,59,68,62,60
NPFFR2,1,1,6,1,3,0
PHF21B,0,0,0,1,1,0
TRAF1,40,61,32,47,32,24
RC3H2,954,1217,716,1131,726,927
KIFC1,0,0,0,0,0,0
IL17RB,3,6,3,2,7,7
TRAF3IP2,495,571,344,360,438,303
GYG2,46,54,38,58,73,55
DCBLD2,5587,6317,4203,4401,3381,3618
SERPINB3,9,7,5,2,0,0
SOAT1,752,920,628,1040,836,739
PKP2,56,49,40,79,47,49
MSH4,3,5,9,8,3,6
F7,0,0,0,0,1,2
GDI2,5822,7128,4721,5949,4954,5508
PRDM1,53,24,30,73,30,41
ATG5,974,860,777,767,583,657
TMCC3,55,403,51,67,37,35
PITHD1,730,849,581,683,607,554
MTA3,580,701,435,653,537,578
USP13,318,326,176,402,307,365
ATP11B,1127,1174,792,1098,744,936
LAMC2,2131,2880,1859,1791,1531,1423
CDK14,392,503,324,414,304,349
SEC61A1,7381,8929,6211,7310,6531,6422
PPP1R12A,1725,1750,930,1514,919,1076
RASGRF1,4,8,1,5,10,1
CAMK2B,2,7,3,3,4,4
CROCC,459,465,252,296,188,195
POLR3E,610,724,443,641,534,588
ATP2B4,1755,2470,1379,2540,1859,2264
ZC3H11A,3054,3726,2143,3270,2196,2612
RIOK2,545,667,500,604,477,584
YIPF1,380,409,295,402,346,380
NDC1,761,870,550,870,699,710
DGKG,13,32,48,13,12,28
FLYWCH1,902,1171,859,651,660,559
UNKL,255,233,166,293,274,192
TBXAS1,25,42,23,25,9,15
PARP12,384,602,321,331,286,328
ALDH18A1,2284,2565,1847,2298,1964,1904
TARBP1,490,597,271,416,289,297
GATB,416,526,359,463,423,441
MXD1,225,240,143,194,151,145
CDK17,464,463,330,485,345,356
DNAJC25,330,341,213,258,202,196
SLC2A3,973,1199,835,1062,910,924
PSD,33,36,26,59,33,21
CTDP1,460,523,385,496,458,433
YBX3,4074,4669,2802,3382,3172,3007
STYK1,2,3,0,0,0,0
WNK1,2928,2592,1809,2899,1985,2344
RPS17P5,2,1,1,1,1,2
CCAR1,2604,2818,1163,1995,1746,1796
OGFR,714,1053,741,680,700,651
GNA15,0,2,1,1,0,0
CREB3L3,0,0,2,0,0,0
PIGV,211,255,189,153,192,179
PTPRU,339,456,343,453,241,394
SNRNP40,750,892,538,841,637,783
RIMBP2,3,3,0,8,13,1
COL11A1,11483,13820,8380,15054,11843,11992
QSER1,946,1171,656,1055,674,808
MPC1,336,387,296,331,278,299
ACAA1,826,1017,717,810,777,862
BCAT1,9679,11038,7676,11254,8040,10288
HDAC7,1373,1642,1040,1216,899,861
LZTS1,120,135,97,218,198,180
PRDM6,7,10,30,8,6,4
WNT8A,0,0,0,0,1,1
SPAG4,43,37,12,28,11,29
NCKAP1,4505,4674,3395,4524,3395,4282
MRPS35,1220,1394,1000,1234,1035,1251
GUCY1B1,236,222,186,336,258,259
SFSWAP,603,816,540,623,580,522
TNK2,578,683,467,778,514,580
MON2,692,979,447,855,529,532
CDH3,36,75,23,38,58,40
ARSF,1,1,1,0,0,2
GPBP1,1084,1300,877,1259,984,972
DGAT2,11,11,1,5,5,18
ZNF112,94,136,79,105,70,102
CS,2180,3061,1748,2575,2298,2342
LTK,24,16,19,46,37,23
MRPS24,1263,1385,922,1158,1234,1119
ELMO2,733,848,449,634,584,564
WAPL,1284,1520,835,1408,992,956
VMP1,4217,5120,3031,3780,2703,3084
APPBP2,717,762,633,955,619,714
POLD1,273,401,272,400,400,276
SEZ6,1,12,0,0,1,0
EIF4B,10068,11425,8441,10405,8368,9061
SLC6A16,56,33,7,26,22,27
BICRA,160,92,47,231,60,74
SPHK2,189,234,148,228,169,188
RPL18,6851,8007,5987,5536,6047,5518
CA11,131,150,84,85,77,67
ISOC2,699,809,580,608,647,693
U2AF2,2240,2732,2157,2441,2116,2242
EPN1,1446,1768,1289,1440,1335,1329
MED29,659,828,575,702,530,568
GSC2,0,0,0,1,0,0
ZNF275,245,312,193,323,186,219
MTMR1,333,441,272,430,389,347
GPC1,997,1041,844,1238,969,963
ADCK1,110,204,102,116,128,123
HAGH,362,367,369,249,287,276
RNF4,1066,1268,873,1271,1062,1025
CASP8,330,345,216,276,251,262
LIMCH1,105,136,88,404,256,292
INTS13,943,950,630,848,770,929
TM7SF3,645,904,678,821,601,880
DLX3,85,98,91,78,75,65
SPA17,152,163,100,133,87,138
TSPAN32,5,16,7,3,3,3
CCN5,211,213,171,64,49,58
DMRT3,0,0,0,0,0,0
ST3GAL6,120,106,76,88,80,55
ATP2C2,9,24,5,9,7,25
NGFR,142,186,136,175,155,158
CDON,245,275,165,448,222,324
TAF2,627,668,467,760,546,557
HIPK2,685,748,516,850,476,653
TNPO3,1139,1409,1042,1433,1101,1238
RFXANK,398,532,413,345,347,371
TMEM161A,308,314,295,324,327,279
LPAR2,36,38,9,67,26,14
CTSA,3481,4562,3005,3299,2836,2740
SUGP2,1296,1553,809,1368,957,979
SLC12A2,698,818,476,936,593,590
SNX24,210,284,187,245,221,195
EYA2,6,2,6,5,8,5
CNN2,1829,2157,1515,1924,1605,1632
ABCA7,296,226,157,273,185,179
SNCAIP,82,137,87,184,104,116
DDX20,446,497,295,468,373,421
BTBD1,1855,2102,1411,1665,1299,1462
FAR2,174,179,166,165,161,147
BCAS1,10,2,2,3,4,2
POU1F1,0,1,0,0,0,0
CHI3L2,8,17,10,7,5,9
SBNO2,274,120,468,284,287,222
PMS1,510,660,294,539,403,424
HMG20B,1059,1304,963,1000,978,963
CALCRL,125,116,93,218,152,233
TAF11,590,611,390,564,510,511
ANKS1A,403,416,311,482,419,404
AP3D1,3022,3449,2392,3175,2368,2679
ZNF76,226,341,194,267,169,223
SLC9A3R2,356,438,302,466,341,321
NTHL1,130,179,205,163,156,163
UHRF1BP1,430,563,422,622,467,558
GNAI3,2378,2728,1742,2278,1750,1988
IPO5,4642,5297,3776,4794,3657,4239
OAT,2733,2648,1909,2170,1758,2105
WDR3,1005,1018,818,1169,924,1167
PKN2,1010,1214,726,1475,912,859
WDR18,654,723,546,578,663,569
TRAM2,3191,3750,2522,3237,2491,2673
NTN1,26,27,16,25,9,18
GLP2R,2,4,8,4,9,8
MCM10,196,279,149,252,187,256
DGKA,509,883,452,647,440,505
ERBB3,148,167,93,151,164,114
ROPN1,0,2,0,1,3,1
ANKRD44,77,78,34,29,40,29
KARS1,2639,3379,2219,2685,2512,2768
ADAT1,274,311,224,336,245,253
PDIA5,804,800,506,597,534,511
TBC1D22B,200,241,151,197,153,171
NDUFB4,1284,1489,979,1147,1165,1146
SPEN,344,918,411,763,649,360
MYLK,554,512,477,563,546,487
ZC3H15,2063,2259,1519,1981,1592,1820
MAP2K4,581,680,488,635,454,517
PACC1,163,153,132,173,172,141
SNAP91,4,4,4,11,3,2
SLK,1412,2045,1270,1540,1163,1175
CYB5R4,395,385,326,298,252,347
COL17A1,187,210,139,241,194,161
GSTO2,119,142,116,115,116,97
SEC61A2,197,238,97,182,157,143
PRKCQ,12,17,10,14,7,15
TLE2,45,43,55,46,25,42
ASB1,533,659,379,515,267,542
FAM107B,299,297,234,199,225,227
ME1,1126,1053,799,1213,911,1052
TBC1D1,537,652,393,528,444,502
CDK13,909,1007,590,1007,674,692
MTHFD2,4499,4456,3443,4645,3783,4467
SLC9A7,224,320,238,227,152,198
FOXJ2,392,470,334,463,323,347
YBX1,16623,19474,13218,16485,14615,15138
PDE4A,122,165,115,156,86,107
PPP2R5A,485,626,446,539,442,481
CTNNA2,1,3,3,1,1,4
ELAVL1,1361,1502,1092,1528,1209,1190
TIE1,11,29,10,34,31,40
DIP2B,766,933,584,998,679,750
SMARCD1,716,923,516,784,530,689
KDM4A,982,1166,775,1250,957,983
NFYC,419,600,420,722,555,554
ZMYND12,3,2,0,5,3,11
SLC9A3,15,16,8,27,18,22
NGEF,586,907,569,707,681,749
ASPM,666,831,433,681,475,568
CD84,18,15,9,22,5,3
ELOVL1,970,1284,811,875,880,839
SPI1,0,0,2,1,0,0
POLR1H,225,246,197,191,175,167
MPPED2,1,5,2,3,0,0
CLDN18,2,0,1,3,0,1
ZBTB11,554,617,460,652,443,510
ATXN3,883,1259,816,976,931,863
GOLGA5,1254,1490,1039,1101,1005,1143
FGFR2,9,13,11,8,10,10
LRRC40,375,394,273,418,322,362
ISOC1,263,314,202,329,281,280
EML1,757,808,609,729,519,742
TRMT11,308,339,219,315,256,288
THUMPD1,919,925,569,933,674,809
MSANTD3,720,802,504,590,466,543
KIF26A,96,126,78,266,220,204
ATG2B,804,541,399,797,471,587
ARFGEF1,844,1065,611,967,557,744
ACSM2B,3,3,6,3,11,5
ZFAT,128,212,130,131,127,127
MTFR1,566,633,424,623,440,476
STAG3,14,44,6,22,30,15
FECH,604,659,467,859,558,618
MYO9A,576,556,372,574,265,580
DDX3Y,1584,1696,1163,2071,1368,1487
PFKP,2546,3391,2439,2971,2624,2593
IDI1,1781,1988,1324,1751,1458,1704
SP100,1170,1790,892,909,829,881
KLF6,1874,1715,1240,1433,1118,1167
PLPP1,403,435,293,441,377,428
NEO1,554,664,426,892,528,540
TRAM1,4371,4873,3551,4386,3458,3818
PHKA1,256,296,237,367,343,373
TNFRSF1A,2755,3345,2248,2280,2200,1917
CACNB1,155,279,216,197,130,157
EVI5,484,515,439,484,516,474
STOML1,240,274,226,211,171,211
PKM,29435,40437,29368,31505,29333,29532
DHX29,853,1106,773,1062,774,1005
DNTTIP2,1578,1775,1004,1351,1186,1416
METTL22,238,321,175,242,214,245
TP53BP1,1486,1713,1065,1475,1101,1189
TRO,464,663,379,463,389,393
RRP15,848,939,643,846,722,709
RHOA,9481,10532,6935,8832,7695,7825
DHX8,887,883,576,803,720,652
PMS2P4,22,22,19,28,23,33
PRKCZ,12,14,7,4,3,7
ZFY,252,305,231,324,232,286
IARS2,2239,2570,1732,2121,1762,1908
SYT1,399,450,288,509,393,337
NAV3,222,335,201,357,104,171
IDH3G,593,835,494,585,486,418
ROGDI,203,280,172,319,324,218
PDZD4,6,6,5,9,6,17
ATP2B3,1,2,2,5,1,8
ROCK1,1721,2265,1241,1791,1237,1465
CBFB,1041,1115,762,1019,758,764
PDK3,60,93,37,54,42,38
HYAL2,684,732,578,636,597,582
HDAC4,134,234,189,192,183,222
RASSF1,272,338,245,225,229,193
FGFR3,122,154,80,248,202,190
IFI35,351,516,336,238,261,212
HEATR6,305,510,239,324,254,174
COASY,855,1113,636,994,785,724
PLEKHH3,340,428,225,267,236,221
MEF2A,1180,1360,817,1350,893,954
OTUD5,692,879,671,649,647,626
TFE3,1093,1375,874,1061,951,897
TBC1D25,158,269,182,266,166,216
ACSL4,1621,1761,1195,1826,1495,1690
INPP5A,582,531,365,538,471,525
GPKOW,298,443,306,281,262,316
GRIPAP1,557,853,462,613,515,582
FTSJ1,723,936,722,834,643,675
PRR11,434,499,340,437,339,386
REEP1,49,77,56,101,83,76
ATP11A,263,330,204,423,223,350
POLR1A,706,862,746,1039,755,728
LAPTM4A,11151,11824,8011,10204,9110,9909
TTC7A,365,376,298,326,232,297
IP6K2,819,1011,652,893,751,749
STON1-GTF2A1L,3,4,7,9,12,12
SRBD1,318,493,300,395,300,345
KIF2A,595,546,451,726,427,539
RASGRP2,101,103,45,95,90,81
PSME4,1431,1716,947,1376,1044,1300
IFT80,875,1034,539,749,566,682
ERLEC1,1398,1464,1150,1375,1168,1177
PPP2R5B,402,399,254,332,329,357
PYGM,18,21,12,22,13,12
PAGE1,0,0,0,0,0,0
PITX1,179,219,197,135,165,126
TRPC7,17,14,24,14,20,10
MAST4,224,327,150,205,84,71
ADGRF5,0,0,0,2,1,5
SDK2,73,63,3,28,78,2
ADAM7,4,4,4,5,5,10
NUP133,994,1269,710,875,904,789
NUCKS1,6385,6511,4601,5348,4678,5661
VPS35,2482,2805,2460,2772,2316,2711
DNAJA2,1559,1632,1009,1486,1313,1426
BCL3,345,598,261,309,214,232
KCNAB2,117,147,85,180,133,96
ABCC9,104,133,72,83,90,50
GAL,86,86,49,113,105,97
CLEC2D,251,343,171,221,219,145
FUNDC1,290,326,226,328,280,292
MAOB,6,5,3,1,5,9
RORA,127,155,150,168,140,184
DRD4,14,2,7,0,12,15
TGFBR3,465,468,346,440,382,387
HES2,82,138,75,178,171,141
ATP1B3,1987,2350,1428,1943,1731,1733
NEDD4,842,894,563,905,522,691
PIGB,218,179,117,127,103,116
MAPK6,1445,1488,1069,1717,1243,1374
GNB5,437,402,310,300,278,232
RAB27A,230,343,221,216,206,224
HDHD5,369,328,272,289,258,290
UFD1,984,1116,879,990,876,861
GUCY2C,4,1,1,2,1,2
PHRF1,0,0,0,0,0,0
ELP1,869,1389,687,1455,784,1238
NUCB2,1530,1719,1247,1367,946,1105
PFN2,3203,3624,2380,3596,3273,3419
PTPN3,146,127,107,81,53,75
SPTB,11,18,17,19,14,18
DAPP1,0,4,0,3,2,3
FGF10,16,17,10,8,9,11
SLC44A1,752,861,637,1146,754,753
TMEM260,366,480,304,399,310,349
SMG6,641,751,450,538,521,503
EXOC5,1251,1198,1008,1449,979,1193
CLTCL1,313,315,224,295,223,199
FGF22,5,8,4,6,3,4
FSTL3,603,731,479,851,651,594
DGCR2,1012,1159,854,1117,877,972
RNF126,531,605,418,499,468,446
MNT,351,412,256,410,237,316
ZXDC,223,234,143,257,178,174
JMJD6,340,365,230,278,262,259
POLB,246,236,157,251,203,239
ST6GALNAC1,26,18,4,22,10,10
WIPI1,1069,1035,757,805,683,706
FRMPD1,3,1,6,6,5,7
GBA2,491,576,310,458,367,342
NDST1,2737,2821,1807,3154,2280,2237
ASNS,3560,4259,2853,4002,3506,3970
AP3M2,309,414,216,376,231,282
CNGB1,17,22,1,11,12,1
ST6GALNAC2,16,9,7,37,14,25
CHAT,0,1,3,2,0,0
PABPC1,21761,25444,15828,19029,14967,16887
TESK2,71,115,53,96,66,79
CFAP20,447,461,315,384,346,425
CSNK2A2,1195,1404,925,1098,867,1032
PTPN21,782,647,405,494,383,404
EIF2B3,520,682,396,505,517,540
CAMK2A,29,34,28,15,16,6
TCOF1,903,1003,680,819,737,810
CDC42,4104,4535,3147,4069,3621,3640
OSBPL3,488,421,403,576,509,495
EPHA8,1,0,1,0,2,2
SLC12A3,6,6,2,58,20,6
RAD18,243,368,231,326,331,380
ATP2B1,3427,3974,2293,3028,2768,2483
TRPM5,0,0,0,0,0,0
NCK2,611,656,440,506,442,463
MAP4K4,4986,6037,4078,3926,3039,3323
MGAT4A,5,7,2,50,6,3
RPL31,11682,12154,8651,9041,8859,9452
WDR1,6470,7741,6105,6628,5754,5997
SNX13,675,623,460,900,530,618
MS4A12,2,0,0,0,1,2
ARHGAP10,529,667,456,465,381,422
RPS6KA2,1171,1441,1056,1117,880,925
ING3,247,254,192,322,218,221
VASH1,369,438,251,456,344,369
LMCD1,870,966,762,986,966,1025
BUD23,935,1066,634,869,814,785
SEL1L,3352,3550,2538,3906,2509,2901
TRIP13,329,482,280,334,297,298
ATP6AP1,1793,2191,1507,1804,1817,1711
TCF3,1422,1389,966,1171,1065,860
TRIB2,1341,1613,843,1030,874,881
DAZAP1,1693,2191,1469,2093,1576,1646
MBD3,1630,1766,1377,1496,1364,1325
PRLH,0,0,0,0,0,0
HLTF,759,926,550,973,621,724
FAM50A,1484,1754,1215,1166,1034,1059
FAM3A,329,458,278,295,309,256
CPSF1,1286,1419,896,1243,1078,1044
MYO3B,10,9,1,6,11,4
CYBRD1,4980,5173,3582,3756,2790,3104
CDH19,1,0,0,0,2,0
PDCD2,1407,1569,1005,1276,1151,1180
SLC6A15,180,183,89,193,171,167
RDH11,1607,1892,1354,1792,1492,1589
PRKACA,870,1122,759,1002,763,774
ADGRL1,303,373,228,575,308,291
SPP2,3,4,3,4,8,1
ACTN1,6216,8090,6214,7012,6169,6384
ZFYVE26,526,638,348,628,358,414
RPS6KA6,122,111,64,231,84,106
EPN2,580,715,451,504,525,401
PTPN18,360,441,251,352,290,315
LIMS2,609,714,452,739,584,642
ASIC4,5,4,5,8,8,1
SPEG,556,669,404,526,414,360
LNX1,11,34,16,23,20,27
ALDH3A2,930,1029,811,881,667,769
TFRC,5023,5546,3828,5649,4418,4945
SREBF1,1099,1115,786,1382,1097,1084
TRPC5,0,0,0,0,0,0
AFF4,1964,2352,1657,2250,1559,1795
UBE2D1,642,492,307,471,356,428
MPP5,546,606,425,567,454,469
RHOBTB1,294,227,206,336,339,362
SMC1A,1272,1330,889,1576,1603,1394
HSD17B10,832,904,629,711,769,755
MARK2,375,459,366,506,338,384
HMMR,463,647,422,608,488,553
CHFR,573,627,398,654,429,395
TRHDE,23,35,12,18,63,52
P4HA2,3110,3626,2609,2935,2877,2804
FCGR2B,2,5,0,0,1,0
NFATC3,634,807,569,775,564,662
TRNT1,466,534,318,472,328,379
ACADVL,3520,4626,2476,3516,2689,2421
STK10,877,1203,941,1105,1116,854
FBXW11,1169,1403,898,1364,1099,1260
ACAP1,14,29,11,17,14,13
CRMP1,362,467,311,480,406,439
EVC,549,695,580,598,325,399
DERL2,714,932,544,691,653,714
SIDT1,11,20,2,15,11,6
NDE1,240,294,229,282,208,250
IRAG1,35,46,23,35,8,8
TMEM38A,47,49,29,29,40,42
AP1M1,873,995,719,872,805,885
PVR,1023,1250,741,1181,906,942
XRCC1,217,441,294,328,245,234
SCARB1,169,242,129,250,249,222
CYP2W1,4,5,4,3,1,4
MCM2,533,630,460,565,484,519
MOV10L1,19,22,8,12,16,11
PANX2,31,39,31,32,42,39
SELENOO,323,404,286,285,273,269
TP63,20,40,18,18,38,32
ALPK1,259,278,182,236,159,205
LLGL2,52,95,67,91,76,68
PDE8A,532,646,307,504,353,500
CLCN4,117,107,83,123,92,156
NLE1,252,335,273,269,235,237
SDHA,2013,2215,1319,1705,1452,1502
SMARCE1,2382,2910,2009,2538,1954,2372
FNDC8,0,0,0,0,0,0
GSDMB,187,249,92,170,116,87
KDM5A,1081,1020,710,1029,602,725
ADAM11,14,3,6,6,3,5
PPP2R3A,394,435,259,420,258,275
FERMT2,3179,3572,2378,3557,2708,3059
ABCB11,0,0,0,0,0,0
DHRS9,12,13,4,6,12,4
CD5L,0,0,0,0,1,0
PTGS2,128,139,91,157,94,135
IGF2BP2,1098,1367,932,1267,942,1017
MAP3K13,208,209,116,131,130,124
ST6GAL1,597,733,343,993,871,847
TBX21,0,1,0,0,0,0
FRY,213,285,242,449,510,386
PICALM,3226,3801,2414,3141,2421,2869
NSF,504,737,434,796,363,588
GLI2,222,400,396,311,210,311
CLASP1,781,671,533,887,706,620
MRPS34,1107,1253,954,1029,970,916
NOTCH3,1384,1239,989,2351,1794,1666
CLNS1A,1528,1641,1210,1452,1247,1424
PPP2R2C,75,66,46,74,60,57
TEAD2,507,582,384,515,539,401
EED,348,421,239,292,252,277
CDHR2,1,2,1,1,0,5
SNCB,0,6,6,1,4,5
TSG101,1246,1313,936,1045,1001,945
NCBP3,840,1177,665,1008,576,733
ATP2A3,24,74,14,103,41,50
CA12,464,519,331,376,246,263
MGLL,805,938,659,1071,870,788
NTN4,3192,3473,2461,4034,2891,3464
BCS1L,320,363,316,333,342,334
NUAK1,456,541,420,959,594,649
DPP8,763,918,593,928,610,652
SLC24A1,155,164,63,144,82,79
ZNF532,1302,1629,887,1561,982,1186
SCARF1,38,51,21,25,20,17
LMAN1,4273,4731,3486,4852,3551,4162
HACD3,1899,2132,1435,1823,1574,1675
IPCEF1,4,11,4,2,44,5
ZZEF1,559,708,431,715,484,518
NOX3,0,0,0,0,0,0
ENO1,30807,38117,28706,27290,26402,27438
SLC12A1,1,0,0,5,0,0
MYDGF,2086,2215,1600,1722,1787,1582
ANO8,150,160,95,140,97,97
TUBE1,461,402,284,451,381,451
ARHGEF10L,334,336,258,351,246,305
TXK,6,8,2,10,4,0
WSCD2,0,0,0,1,0,1
KCNQ2,1,3,4,221,0,8
TACR2,0,0,1,0,0,0
ACTR6,378,371,404,398,302,337
TIPIN,185,168,114,129,112,120
SRI,1300,1333,723,995,949,938
EIF4G3,2396,3045,1993,3062,2187,2292
NUP37,510,552,381,560,478,466
SEMA3A,464,524,290,659,425,472
GTSE1,250,289,183,291,241,277
SEMA3C,5248,5598,4412,6117,4042,4666
TTC38,222,337,200,168,192,187
ACAT1,1303,1534,933,1195,1036,1153
GRAMD4,236,314,196,258,209,157
CELSR1,407,456,222,471,340,409
WNT8B,0,0,3,1,0,0
ZNF638,2025,1929,1261,1771,1330,1385
SLC25A40,280,202,92,285,132,173
TIMM21,611,623,403,611,533,580
ADD2,16,31,19,37,37,35
FGF4,0,2,0,2,3,3
RASAL2,450,530,411,461,355,421
VPS9D1,272,265,182,222,176,175
ZNF37A,65,95,44,74,66,58
MARK3,1730,2071,997,1605,1214,1304
SLC25A3,7444,8446,5564,6304,6029,6087
FNDC3B,2693,2995,1936,2849,2095,2242
FOSL2,1653,1864,1564,1908,1490,1640
CACNG5,0,0,0,0,0,0
CACNG4,26,32,9,34,32,28
FRYL,658,932,472,721,533,737
TMEM131,997,1127,660,979,667,684
FSCN1,4781,5327,4166,4558,4326,4149
ACTB,36190,43692,25305,33829,32327,33435
MOCOS,385,627,293,587,703,556
PLD1,321,218,186,337,218,302
ATP12A,3,5,1,2,4,2
WDR62,137,198,101,170,115,144
DLG1,2278,2522,1943,3672,2294,2753
RAB7A,4054,5203,3115,4257,3895,3482
BCAP29,987,854,649,770,759,561
SEC31B,160,244,55,156,97,74
SART3,689,1043,610,1058,785,762
ARHGAP15,13,0,1,1,2,6
TUBA3D,0,0,0,0,0,0
PAX2,11,7,6,1,1,1
EXOSC7,700,785,521,635,641,615
KIFAP3,817,1012,656,836,703,811
MKRN2,728,726,554,726,538,635
MCM6,885,1243,738,1013,852,1119
REXO2,2885,3141,1967,2441,2060,2429
RBM7,667,647,501,680,549,565
RBMS2,691,1007,632,703,828,669
BAZ2A,949,1059,594,1445,850,906
PTPN23,553,702,545,608,486,455
MLH1,759,906,513,772,661,684
UNG,548,567,387,440,366,410
FMO4,14,38,25,25,12,21
KLHL20,381,340,268,410,302,361
RGS11,34,28,13,37,15,15
SLC46A1,171,184,124,233,137,154
PLXNA2,714,783,591,1150,719,991
SPAG5,554,905,368,631,530,543
ANKRD13A,691,741,616,739,583,599
TPD52,164,145,87,324,180,226
ACACB,72,61,52,76,47,56
TRAF4,574,710,472,618,685,547
PAG1,213,159,97,197,250,158
GPATCH1,178,154,158,168,152,167
ICAM3,126,156,93,62,136,86
NT5C2,1196,1362,1031,1682,1110,1141
MCAM,359,523,368,742,623,613
GPC4,280,303,180,772,632,622
MBNL3,64,70,49,77,42,46
CAMSAP3,18,7,11,27,17,19
RAP1GAP,20,20,33,22,11,18
XAB2,473,657,437,492,447,469
ARHGEF1,1199,1479,853,1100,1017,902
STXBP2,263,279,244,178,180,179
MAP2K7,580,574,471,523,463,460
NMRK2,0,2,7,5,7,1
CTTNBP2,67,100,51,26,17,18
ACTL6B,0,1,0,0,0,0
RARB,82,91,62,103,93,106
TOP2B,1593,2404,3163,2381,2594,2159
TM9SF3,4200,4685,3378,5141,3986,4309
NFKB2,434,576,389,310,276,334
UBE2T,345,425,274,367,345,355
PPP1R12B,196,369,183,476,325,283
DNAJC10,4035,4459,3019,3797,2944,3517
GTF3C1,1726,2066,1053,1957,1676,2039
IL4R,413,544,342,327,274,281
USP33,931,1093,520,970,713,703
PAK3,64,32,104,83,39,17
CAPN6,0,1,0,0,1,3
DCX,6,8,4,0,3,2
SNRPA,527,811,366,532,647,655
SPAG6,0,0,0,0,0,3
EXOSC5,239,293,200,237,225,238
DYNC1I2,3445,3767,2220,3269,2391,2932
APBB1IP,40,58,25,34,37,33
LRCH4,372,442,261,330,390,308
FAM76B,241,240,130,229,167,169
SIRT6,299,398,256,288,236,242
TYR,1,1,0,3,2,0
POLD3,341,418,245,274,251,265
ACTN2,0,3,3,2,18,4
CAPZB,3130,3762,2805,3147,2970,2881
GPR137B,229,255,163,152,177,157
NAALAD2,12,20,15,25,12,21
JADE1,783,950,571,819,637,676
SLC25A43,273,395,259,242,223,239
UBE2A,1367,1561,1052,1353,1106,1165
FGFR1,2001,2738,1723,2094,1572,1431
FKBP6,0,0,1,0,0,1
SMC1B,0,1,0,0,0,0
FBLN1,367,469,371,501,444,410
ITGA8,21,11,9,14,11,17
CST7,1,0,0,0,0,0
MAP2,306,357,287,423,333,350
PIAS2,431,427,360,608,367,373
AMPH,7,18,12,18,11,11
ARAF,723,646,449,627,482,594
MCCC1,408,503,286,362,324,309
LAMP3,184,230,149,271,205,209
FAP,1924,2485,1445,2054,1551,1770
NEBL,82,128,78,262,186,218
ACER3,382,403,282,339,235,303
UBE2K,1872,2172,1323,1879,1709,1708
PIK3C3,824,1058,837,801,827,814
N4BP2,276,285,173,316,192,247
TIGAR,334,333,306,357,285,323
TULP3,422,526,324,527,351,418
SYNJ2,801,1277,778,666,632,493
ADCY2,14,39,11,26,39,18
PPP2R5C,1988,2502,1474,2161,1663,1899
PMS2P1,103,89,61,91,74,78
RBFOX1,2,1,0,0,0,0
GNB1,5575,6299,4198,6329,5188,5389
HOXA9,403,411,276,360,307,357
EDN1,44,50,40,59,54,66
MLLT10,400,452,317,482,300,328
ZCWPW1,71,113,88,61,60,58
ADCYAP1R1,0,3,0,1,1,0
FGF20,0,0,0,0,0,1
P2RY10,0,0,0,0,0,0
ITM2A,1,2,0,0,0,4
NRDC,3494,4453,2514,3636,3209,3198
VDAC3,1621,1926,1295,1644,1434,1629
PCM1,1719,2046,1253,1676,1304,1457
TNRC6C,114,150,69,151,93,96
CBFA2T2,292,363,240,338,215,255
BRINP1,10,6,6,8,3,3
ITCH,1121,1218,733,1065,786,925
PKD2L2,4,17,3,7,2,11
TP53INP2,309,399,335,455,429,365
SDF4,3134,3528,2696,2841,2719,2478
MYH7B,20,19,8,13,17,7
BPIFB2,0,0,0,0,0,0
TP73,0,5,2,6,8,3
TOLLIP,708,812,698,822,615,655
UBE2D4,251,281,182,255,237,264
CLUL1,10,4,1,4,12,32
RUNX1T1,306,333,218,294,202,218
CDH17,8,7,6,4,6,7
THOC1,607,693,410,539,442,407
FKBP7,474,606,397,485,498,433
OSBPL6,467,624,367,517,341,444
SLC1A3,531,752,437,586,458,550
XRCC5,5131,5573,3775,5080,4440,4826
LXN,362,389,251,255,213,237
SP140,6,8,16,12,23,14
MKNK1,309,390,182,335,233,256
TNS1,1914,2077,1502,2740,1883,2194
REXO1,602,444,219,362,501,346
SAR1A,3832,4304,2742,3427,2630,2999
