gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
FHL1,0,0,0,0,0,0,0,0,0,0,0,0
RTF2,880,1144,738,1073,810,790,825,1078,775,601,776,516
GABRA1,0,0,0,1,0,0,0,0,0,0,0,0
NLRP2,53,58,47,41,8,13,60,55,46,10,24,2
SLC45A4,88,165,97,436,314,353,106,123,78,134,137,94
RNF10,790,1054,733,1208,883,801,1027,1090,877,739,1071,738
ZNF839,146,239,142,182,126,126,237,290,221,176,179,184
ZDHHC6,638,828,579,730,536,623,488,592,442,294,298,265
GRAMD1B,0,3,0,2,2,3,0,3,2,4,2,4
RB1CC1,2566,3326,1933,3525,2565,2556,2477,3234,1986,3715,4071,3084
ERP44,575,835,530,667,525,558,459,615,377,408,458,312
ALAS1,165,265,143,301,229,210,229,317,190,162,202,157
BIRC3,11,30,16,33,37,19,4,15,4,3,5,3
AKAP11,984,1309,859,1133,885,1111,805,931,648,582,662,442
GLRX2,226,274,205,316,211,201,136,159,109,127,105,81
SNAPC1,197,241,156,231,162,164,224,311,210,190,235,149
DERA,547,960,599,857,574,553,256,391,249,228,202,179
STRAP,873,1066,703,1016,746,901,598,564,394,309,377,337
ABCC2,8,7,4,20,17,10,12,5,5,25,6,13
DEF6,100,169,126,147,115,110,79,82,68,17,15,10
PLEKHO1,4,4,4,5,9,4,9,12,5,2,9,10
GCLM,397,514,404,660,477,437,692,821,609,883,1060,805
UBR2,1936,2586,1733,2372,1818,1948,1799,2200,1409,1803,2130,1515
EHD2,14,10,5,15,6,4,7,13,28,2,4,27
DEPDC1,1079,1239,865,1374,547,746,1049,1384,836,904,1313,803
CCDC28A,377,491,305,465,310,308,332,402,280,418,409,306
RRAGD,288,272,165,832,430,551,135,144,105,201,250,99
HSF2,644,954,578,1041,718,986,502,647,454,323,503,255
PHF20,753,1141,735,1045,777,787,869,1316,813,715,837,475
HSD17B6,33,39,35,36,23,19,13,13,15,17,16,12
NR1H3,18,18,15,11,14,15,18,15,19,11,12,10
TYMP,29,29,26,44,48,30,7,20,7,9,16,10
NCAPH2,508,781,605,863,717,635,555,854,549,553,583,489
TOMM34,348,535,369,447,420,376,228,290,194,120,149,119
SEC63,1234,1821,1146,1558,1440,1380,1487,2210,1327,1439,1903,1187
KPNA6,891,1248,792,1127,959,815,1017,1200,862,616,742,590
VIM,21197,29235,21964,10653,8923,9565,2867,3497,2686,749,731,704
RTEL1-TNFRSF6B,44,123,114,74,128,73,61,80,35,32,51,30
FAS,65,107,73,104,79,95,23,29,19,20,40,23
RNASET2,251,303,194,276,248,205,76,89,66,36,39,32
CD44,496,724,456,381,376,249,411,490,327,268,266,250
KCNG1,8,12,5,13,12,11,13,18,8,7,5,9
AGPAT4,14,82,31,83,98,63,81,94,67,425,425,395
SLAMF7,2,3,2,2,1,3,0,0,2,1,1,0
BTN3A1,98,88,93,59,54,69,65,67,56,17,18,8
MIPEP,852,1184,771,897,694,734,509,686,408,236,264,170
PRKCH,0,0,0,0,0,0,2,0,3,0,8,0
INSRR,0,0,0,0,0,0,1,0,0,1,0,0
IFNGR1,370,554,381,436,305,329,210,255,171,108,132,99
B4GALT7,156,208,164,203,164,119,106,116,88,54,74,47
SH2D2A,0,2,2,2,0,1,3,5,2,2,2,0
VRK2,654,909,550,804,589,592,667,975,581,609,654,466
TNFRSF1B,7,21,15,33,67,66,27,41,29,55,81,70
VEZT,552,810,614,751,532,585,613,949,517,368,408,354
POU2F2,3,3,2,7,4,12,5,8,6,3,9,9
BRD9,503,690,508,590,564,590,571,798,519,487,520,447
SNX1,939,1503,977,1319,1145,1105,887,1319,821,737,875,704
TBPL1,699,847,561,898,589,695,701,994,646,1223,1273,958
ARNTL2,372,578,399,370,338,340,194,287,199,180,111,119
BCLAF1,7954,11468,7739,10395,7479,7986,5719,7296,4895,4546,5406,3494
SLC39A9,1086,1512,1081,1231,1137,1032,962,1168,807,678,706,582
ANK1,4471,6975,5161,6445,7451,5488,6119,7788,5213,7054,8943,7592
IBSP,0,1,0,0,0,0,0,0,0,0,0,0
TFB1M,530,630,470,463,306,353,428,555,380,240,258,193
RABEP1,1828,2493,1502,2272,1622,1769,1861,2235,1605,1156,1269,1002
HMGB3,682,874,601,601,387,441,578,921,479,453,601,358
NUP160,2521,3767,2464,3693,2825,3340,2636,3123,2192,1940,2240,1558
BAK1,132,197,147,140,198,123,67,135,72,51,56,34
MUSK,1,3,2,0,2,0,0,2,0,0,0,0
IKZF2,1163,1358,959,360,364,401,207,188,128,42,34,33
GRN,135,164,150,241,227,180,173,233,170,178,219,181
FAM13B,1059,1469,847,919,758,772,722,950,807,419,519,309
ARHGAP31,2,1,2,1,1,0,5,3,1,3,2,3
CENPQ,354,394,258,359,223,291,265,325,237,197,209,159
SARS1,3196,4028,3038,4023,2835,2789,3467,4655,3115,2624,2731,2058
RANBP3,384,498,360,391,538,362,443,575,339,381,416,307
ARID4A,595,768,580,785,743,573,833,931,534,845,818,534
EIPR1,336,448,357,434,371,343,377,486,282,169,223,145
PNPLA6,247,378,328,305,447,228,196,199,134,159,206,154
IFT88,207,307,198,253,157,165,159,219,145,94,95,80
ALG1,406,541,421,532,534,462,268,298,212,219,209,172
ZCCHC8,365,546,400,586,413,399,705,915,664,971,1052,846
ABCF2,455,574,387,606,487,431,605,604,432,420,381,395
CHPF2,219,218,186,225,289,217,197,259,184,230,199,154
LRRC7,15,11,10,29,23,34,26,45,25,75,92,52
FUT8,456,751,446,650,556,477,319,480,255,152,151,147
UBA6,2323,3033,1850,4141,2853,3257,2428,3076,1854,2336,2241,1914
GAB2,221,268,233,356,217,198,575,637,419,192,288,173
ATP6V0A1,409,561,311,546,364,435,846,930,620,700,782,504
PIAS1,391,552,378,562,440,401,696,990,535,399,494,391
SLC4A7,705,1075,704,333,474,424,366,470,312,102,81,104
APBA2,2,1,1,2,2,1,2,2,0,0,3,0
MAP2K3,75,126,92,169,165,149,111,112,87,158,187,175
EFCAB1,0,0,0,0,0,0,1,0,0,0,0,0
TMSB10,4108,5321,3833,3485,2554,2617,1355,1795,1275,421,454,395
ASTE1,141,231,164,210,173,153,159,226,108,78,100,87
RNF19A,1110,1425,887,1391,1242,1004,1436,2063,1262,1927,2179,1504
PEX3,533,669,489,629,440,416,284,440,278,129,150,133
GABARAPL2,280,349,256,413,263,317,311,379,305,383,408,315
MYOC,2,0,1,2,0,0,1,1,0,0,0,0
SH3YL1,376,453,348,409,308,369,369,434,280,312,345,210
FAM136A,842,1248,856,1312,1060,1168,592,752,554,357,439,265
VCL,1026,1608,1126,1131,994,996,415,752,364,490,417,445
DEPDC1B,726,1026,597,982,717,761,600,814,541,555,561,356
DAPK2,19,34,28,28,21,15,25,28,37,15,21,17
NSMAF,1316,1831,1125,1945,1354,1685,662,821,573,498,498,470
ADSS2,927,1432,867,1181,847,1005,585,844,559,428,461,331
STAP1,514,609,435,675,441,489,112,171,119,48,68,41
TIMP2,0,0,0,0,0,0,0,0,0,0,1,1
RFC1,2061,2849,1745,2140,1748,2245,1726,2965,1596,1226,1706,1209
TBC1D23,2025,2719,1737,3203,2208,2252,1995,2750,1722,1832,1821,1388
CUL3,1456,1994,1328,1637,1395,1433,1077,1328,840,785,1012,650
MYOM2,6,4,0,1,0,3,3,7,7,5,3,7
OTC,0,0,0,0,0,0,0,1,0,0,0,0
CYP46A1,28,33,18,18,24,16,29,34,20,21,21,10
ZZZ3,1560,1802,1154,1533,1116,1334,1398,1823,1299,1056,1113,814
SLC18A1,0,2,0,0,2,0,3,0,1,1,0,0
USP2,5,1,1,1,0,0,1,0,0,1,1,0
CASR,0,0,0,0,0,0,0,0,0,0,0,0
TUBG2,187,290,230,429,361,304,283,385,247,334,368,353
RPL26L1,302,502,339,475,397,370,330,408,302,236,242,180
FLT4,267,353,314,494,415,321,220,326,267,141,222,153
NSUN2,1062,1688,1192,1650,1475,1492,1001,1343,923,804,849,605
FBXO42,296,393,305,459,357,362,351,394,303,475,493,384
MFAP3,496,756,438,689,411,507,715,676,465,402,394,269
MRI1,404,605,419,618,513,502,276,392,288,228,243,191
METTL1,135,184,150,192,184,169,141,264,174,122,134,123
HOXC8,0,0,0,0,0,0,0,0,1,0,0,0
AGA,224,381,242,285,175,155,300,391,349,271,399,198
PI4K2B,1029,1440,952,1591,999,1152,826,929,822,1039,1182,681
BOD1L1,1924,2692,1845,3026,2230,2368,1946,2608,1806,1888,2181,1471
MAT2B,941,1285,898,1234,955,935,673,882,605,723,783,537
TLL1,0,0,0,0,0,0,1,0,0,0,0,0
EDC4,249,485,241,443,343,319,524,459,329,196,238,241
TRIO,34,13,11,32,11,13,2,18,2,8,14,1
VCAN,478,472,358,1019,814,831,84,106,50,172,111,111
CLEC16A,304,471,320,409,358,333,600,758,465,399,353,335
MSR1,0,0,0,0,0,0,0,0,1,0,0,0
CDH1,638,992,686,841,971,727,391,617,445,205,196,235
MTREX,3250,4888,2812,4183,2911,3188,3484,4727,3270,2322,2849,1952
DNAH5,0,0,0,0,0,0,0,2,0,0,0,2
ZFYVE16,625,880,458,946,534,654,280,358,237,225,253,165
RIPOR1,209,242,193,326,254,246,451,569,357,438,478,345
C6,1,0,0,0,0,0,0,0,0,0,0,0
RAI14,0,1,0,1,0,0,1,1,5,0,1,5
SOX30,0,0,0,0,0,0,0,0,0,0,0,0
PNKP,520,647,502,603,568,534,487,579,353,314,352,282
BEST2,0,2,1,1,2,2,0,0,0,0,0,1
PHLPP2,510,730,718,645,600,632,316,459,466,208,225,278
SPDL1,859,1041,610,856,693,721,611,1069,758,449,595,363
STAU2,889,1210,756,872,529,594,829,1169,717,494,541,393
SLC66A1,38,50,40,85,88,81,41,69,50,74,56,52
CTNS,201,264,186,284,230,206,199,236,140,283,218,176
RTN4R,0,0,1,0,0,0,0,11,0,1,1,1
PHF23,480,674,484,633,614,560,370,507,309,309,380,370
CDH10,0,1,0,0,0,0,0,0,0,0,0,0
INPP4A,401,538,438,461,373,350,469,448,312,278,339,253
RAB27B,80,122,40,8,23,11,11,76,5,1,0,10
PSMA4,2470,3352,2232,3084,2211,2450,1777,2249,1602,1239,1407,1011
LSG1,564,635,565,700,490,575,576,780,439,348,380,272
PARP3,13,10,15,14,22,18,12,13,16,23,7,19
TNC,0,0,0,0,0,1,1,2,17,1,0,0
THAP3,93,144,103,142,147,116,72,106,94,86,88,62
RIPOR3,122,179,103,398,393,258,235,309,240,924,1036,827
TDP1,486,741,505,559,437,428,487,590,387,302,284,272
AIFM2,133,238,150,225,172,141,220,265,171,85,130,94
C2orf83,5,8,1,0,1,2,4,5,2,1,2,1
SPATA7,99,155,87,89,111,60,96,119,108,53,84,51
MED17,411,487,391,559,430,465,381,462,366,337,589,315
RETSAT,173,360,227,290,301,228,97,176,109,105,66,75
CAPG,371,348,303,226,195,156,78,104,55,32,32,33
AP2S1,1159,1705,1125,1663,1473,1198,776,1111,614,565,648,539
USH2A,2,2,2,1,2,2,5,2,3,1,0,2
ZPBP,0,0,0,0,0,0,0,0,0,0,0,0
TG,1,6,9,7,0,0,11,2,1,6,1,2
ADAM28,8,2,0,0,0,0,0,0,0,1,0,0
BARX2,1,5,0,5,1,3,6,5,1,1,3,2
DCUN1D1,1834,2943,1831,2969,2088,2196,2553,3240,1888,2668,3437,2135
JADE2,275,351,281,211,164,197,190,267,168,127,79,48
ZIC2,1,0,1,0,1,1,0,1,1,1,0,1
LCP2,37,20,27,18,9,28,27,36,24,8,6,1
TRIT1,563,662,472,821,464,589,421,561,330,289,345,206
ADRB1,0,0,0,0,0,0,1,1,0,1,0,0
GUCA2B,0,0,0,0,0,0,0,0,0,0,0,0
CUL7,111,185,128,165,186,127,167,227,114,144,195,125
CTNNA1,1078,1498,889,1214,943,959,1580,2403,1134,1463,1354,1288
PHKA2,430,665,498,549,531,430,540,616,393,288,424,343
CNTLN,1014,1351,855,1301,861,933,978,1187,836,765,838,568
EPHA3,0,0,0,103,58,49,0,2,0,24,27,17
HSPA5,1109,2030,1404,1851,2351,2062,1424,2021,1395,3084,4145,3260
DSG2,522,848,473,796,653,573,399,578,382,472,593,459
GEMIN8,76,118,102,113,71,72,86,123,78,62,55,38
OFD1,352,491,347,490,354,456,620,775,526,550,617,479
GPM6B,1,1,3,3,0,0,1,0,3,2,0,0
MAGEC2,0,0,0,0,0,0,0,0,0,0,0,0
PREX2,1,5,3,5,2,6,1,9,1,4,3,4
WDR37,346,376,257,292,274,242,323,385,313,184,268,150
YTHDC2,1161,1739,1262,1765,942,1341,1535,1579,1187,1066,1047,748
CTPS2,500,665,427,591,316,434,360,530,372,175,198,140
ATP6V1H,665,829,659,803,639,715,587,677,414,434,529,416
POLR2B,3080,3810,2389,3740,2803,3298,3176,3963,2585,2432,2439,1767
FAM214A,265,312,262,320,226,243,239,325,167,324,313,220
ARAP2,0,0,0,1,0,0,0,10,1,3,11,1
TPR,7660,9508,6097,9215,5850,6897,6786,8218,5635,5065,5958,3996
CP,11,5,3,7,17,10,5,7,4,4,5,5
KATNIP,120,210,112,87,142,90,159,319,141,146,118,56
DTNBP1,128,183,134,178,161,138,94,132,85,67,73,70
XK,2363,2878,2095,3941,2537,2824,2608,3182,2326,4157,4566,3177
ANO2,0,0,0,0,0,0,0,0,0,0,0,0
C12orf4,498,633,389,491,392,451,557,694,559,397,543,392
SCML1,165,204,159,173,158,171,148,217,140,100,129,104
WWC3,163,241,163,136,87,87,130,132,98,171,236,175
ARHGAP6,72,108,86,75,52,47,29,42,17,3,9,3
FAM184B,177,274,165,409,371,404,66,117,64,45,75,44
MAP4,522,741,539,610,465,497,1007,1144,585,421,443,483
GOPC,1477,1997,1241,1891,1444,1551,991,1339,936,915,989,646
ROS1,0,0,0,0,0,0,1,0,1,1,0,0
USP28,417,562,419,407,340,409,188,270,183,90,90,108
HDAC9,2,4,4,6,5,3,3,7,6,4,3,7
TSPAN17,808,1128,912,1441,1370,1120,1429,2213,1372,1614,1858,1553
NOP16,489,739,545,693,701,714,466,563,387,297,321,251
CC2D2A,27,27,26,18,11,17,20,27,12,15,16,13
RRM2B,1201,1623,959,1420,1075,1076,1133,1502,943,631,880,671
ZNF800,770,971,784,878,677,685,1032,1252,775,795,805,646
TNFRSF17,0,0,0,0,1,0,0,0,0,0,0,0
SNX29,225,256,176,235,185,155,246,341,191,198,204,117
LMO3,247,311,213,883,522,632,520,682,522,924,955,700
MRPS10,2651,3488,2244,3019,2117,2149,2342,3091,2072,1835,2088,1345
GUCA1A,0,0,0,0,0,0,1,0,0,0,1,0
RSF1,1217,1498,1100,1672,1004,1215,1386,1731,1038,1014,1286,954
VPS13D,892,1041,1025,1523,724,838,1370,1916,995,1323,1704,1322
CELF2,1296,2004,1340,1466,1342,1264,519,639,377,165,144,139
FAM120A,1304,2110,1441,1611,1593,1343,1448,1941,1205,1017,1130,897
R3HDM1,417,560,413,512,352,445,467,592,391,233,252,158
COL9A2,5,7,15,8,18,4,7,11,3,2,4,5
KITLG,0,0,0,0,0,1,0,4,0,1,4,0
ERCC8,362,397,308,419,337,260,253,396,239,151,202,134
ADAMTS6,41,48,31,55,56,52,25,44,27,26,16,26
H6PD,95,138,99,87,84,60,101,118,77,55,60,50
VAMP3,460,558,444,515,464,452,464,568,394,493,433,321
PER3,517,645,436,800,545,588,437,623,376,333,345,283
UTS2,48,36,36,25,30,28,6,22,8,10,1,1
TNFRSF9,33,17,8,17,23,14,19,19,10,13,14,6
EPN3,7,7,2,7,9,4,23,29,8,2,5,7
LTBP1,13,14,7,92,85,82,105,207,85,350,421,289
RCN1,200,378,235,165,95,75,236,517,237,129,124,129
ELN,0,2,0,1,1,0,1,2,0,0,1,0
RFC2,602,920,677,936,826,676,542,711,397,360,450,317
ARID1B,1463,1777,1322,1571,1038,1170,1571,1875,1270,1276,1429,991
CLPTM1L,889,1500,1181,1459,1436,1257,624,904,495,561,497,397
NEDD4L,343,554,424,469,268,218,828,859,452,333,428,308
FOXP3,0,0,0,0,3,0,1,0,2,0,3,0
PPP1R3F,16,25,40,22,21,8,17,17,22,17,17,8
HEXB,1417,1923,1073,1535,1120,1095,681,978,616,557,650,421
PTCD2,398,517,337,398,289,289,352,499,396,215,290,177
NEXMIF,0,0,0,1,0,0,1,0,0,0,0,0
JKAMP,450,555,404,498,366,392,340,519,313,284,244,184
DKK3,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF5,0,0,0,0,0,4,0,0,0,0,0,1
NFE2L3,89,112,27,330,129,144,24,75,20,107,57,36
MCUR1,820,1143,613,1044,678,758,544,804,427,369,417,314
LIMA1,143,210,142,234,213,211,171,241,178,132,158,109
LETMD1,594,723,591,646,583,557,625,805,545,431,479,362
SLC4A8,89,128,111,124,68,69,89,87,64,55,71,36
LAMC3,49,57,58,116,147,102,18,22,28,36,24,30
PTGER3,166,227,153,33,30,39,69,62,41,8,39,22
TNIP3,1,0,1,0,0,0,2,3,0,0,1,0
MAPK9,601,794,543,709,534,477,482,607,356,352,410,262
COL23A1,0,0,0,1,0,0,1,1,0,0,1,0
BCAR1,143,176,128,145,129,110,144,145,116,35,47,51
FAM160A2,87,118,70,122,114,97,107,142,96,113,93,96
HERPUD1,298,341,315,402,316,280,516,673,376,596,727,612
HOMER3,3,2,3,4,0,2,8,6,4,4,1,4
RAD51,300,536,344,441,324,264,441,675,370,356,526,340
POLQ,1542,1924,1519,1792,1129,1297,1921,2329,1631,1418,1444,1161
PIK3CB,968,1195,804,1064,898,837,1051,1282,729,586,702,592
CYBA,185,233,166,269,268,209,44,41,42,30,30,34
THOC3,869,1288,874,1135,965,957,736,882,578,462,481,430
HEBP2,713,1046,602,814,622,587,481,605,409,298,286,202
MPHOSPH9,1117,1458,1005,1294,827,795,1954,2562,1630,1545,1790,1298
PLEKHA5,412,457,431,70,35,52,82,120,140,27,20,18
PRSS8,2,1,0,3,5,2,2,10,2,19,19,21
SIKE1,930,1237,794,1351,888,963,977,1235,797,629,801,590
RRP12,319,497,307,451,568,449,342,627,264,306,337,304
FNIP2,2916,3451,2472,3096,2332,2408,1106,1481,1086,782,865,659
MSMO1,642,992,491,566,454,486,784,1081,694,892,1054,681
TTC17,1925,2516,1575,1760,1217,1365,2223,2709,1643,1680,1829,1309
ALX4,0,0,0,0,0,0,0,0,0,0,0,1
FSTL4,1,1,4,4,1,4,8,3,3,3,0,0
FOXN3,229,259,236,354,269,280,315,233,185,211,234,254
METTL24,0,0,0,0,0,0,1,0,0,0,0,0
AKR7A2,279,454,327,405,347,268,266,340,243,162,165,155
MRTO4,990,1348,953,1445,1231,1169,753,1086,734,563,631,441
NNAT,0,0,0,0,0,0,0,1,0,0,0,0
USE1,45,73,78,92,150,85,70,140,66,102,127,120
MCF2L2,217,280,168,231,175,157,222,391,186,87,77,49
NRIP2,3,6,2,3,1,1,2,7,3,3,2,0
LAMA3,1,4,0,0,0,7,2,2,3,1,0,6
AP5M1,1330,1571,1058,1334,940,902,827,1219,769,680,678,512
ANAPC4,881,1202,713,1145,963,994,611,878,619,418,542,359
KCNQ1,0,0,0,1,1,0,0,0,0,0,0,1
TRAPPC3,631,805,519,819,798,742,578,610,358,366,394,283
THRAP3,2670,3958,2782,3591,2767,3048,2254,2869,1812,1719,1904,1275
PHPT1,349,465,390,559,504,401,305,476,307,366,369,320
ENTPD2,0,0,0,0,0,0,0,0,0,0,0,0
LY75,49,89,55,36,48,38,36,45,39,19,19,8
ARID4B,850,1069,888,884,665,671,660,1076,529,724,535,484
OPN3,78,126,104,94,113,122,45,49,44,39,40,38
SDCCAG8,117,138,79,76,56,77,83,163,70,69,89,47
PTPRN,0,0,1,0,0,0,1,0,1,0,11,0
KIF1B,370,472,269,372,291,370,196,253,198,139,184,99
FOXC1,1,3,2,1,0,0,3,4,1,0,0,1
TBC1D22A,226,367,289,300,294,279,341,425,283,210,241,190
SYNE2,69,105,60,86,54,84,102,99,47,101,84,55
PLEKHH1,32,32,33,34,38,35,50,73,35,41,44,29
ATP9A,57,96,62,60,61,56,112,243,89,104,138,98
SPO11,0,0,0,0,0,0,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0,0,0,0,0,0,0
CHRDL2,0,0,0,0,0,0,2,1,0,0,0,0
FAM168A,170,241,160,170,131,136,95,100,59,43,30,29
RELT,109,183,112,172,169,135,123,272,123,130,142,135
GALC,1148,1679,1220,1454,1417,1545,1095,1463,961,879,1005,701
NOP58,2854,3931,2554,3640,2609,3045,3456,4824,3281,2413,2628,1893
SZRD1,243,494,408,470,430,348,402,547,336,243,303,272
KCNH2,1712,2566,2187,2829,2972,2421,3853,4999,3334,2842,2962,2789
CUL1,1448,2059,1402,1830,1444,1592,1059,1336,958,662,780,567
FAM114A2,514,503,384,513,405,467,628,887,624,549,526,378
CYFIP2,0,0,0,0,0,0,4,1,0,0,0,0
TAB2,744,995,660,973,703,814,603,680,506,627,642,488
GINM1,356,500,324,449,336,323,300,400,287,300,374,254
EIF2AK2,554,822,506,699,524,620,491,490,327,209,280,221
USP36,228,349,265,315,328,260,359,511,281,209,210,193
KMT2C,2073,2340,1374,2407,1576,1771,2644,3897,2555,2527,2238,1869
MCOLN3,1,0,1,1,2,2,0,3,0,2,1,0
CCDC85A,0,0,0,0,0,0,0,0,0,0,0,0
PUM2,2526,3753,2660,3463,2995,2972,2883,3554,2583,2113,2823,1917
MRPL43,376,559,366,482,459,470,291,424,285,237,270,182
ITIH4,0,2,3,0,0,0,0,0,1,9,0,4
ITIH1,2,0,0,0,0,0,0,0,0,0,1,0
HPF1,338,439,297,371,280,341,306,360,288,234,260,151
ZFR,2456,3219,2215,3173,2436,2462,1898,2548,1689,1705,2091,1401
ZNF280C,184,278,219,252,195,187,132,208,128,76,75,56
NPFFR2,2,1,1,0,0,0,0,4,0,1,2,1
PHF21B,0,1,0,0,0,0,0,1,0,0,0,0
TRAF1,8,6,5,5,4,3,7,3,1,2,2,5
RC3H2,1276,1478,994,1179,1134,1022,1076,1343,885,856,1262,630
KIFC1,0,0,0,0,0,0,0,0,0,0,0,0
IL17RB,59,60,52,58,56,72,24,37,13,30,48,14
TRAF3IP2,46,113,114,98,56,50,85,120,54,26,37,35
GYG2,0,0,1,0,1,0,0,0,0,0,0,0
DCBLD2,559,687,474,471,396,375,461,660,262,223,316,156
SERPINB3,0,0,0,0,0,0,0,0,0,0,0,0
SOAT1,630,860,760,744,575,477,428,488,306,150,186,195
PKP2,4,4,3,5,5,6,5,7,2,3,1,2
MSH4,2,3,5,2,6,5,9,12,5,11,16,16
F7,0,0,0,0,0,0,0,0,0,1,0,0
GDI2,4092,5779,3847,5147,3793,4163,3369,4427,3066,2839,3364,2424
PRDM1,4,1,0,0,0,0,0,0,0,0,1,0
ATG5,1152,1375,719,1105,804,939,750,1015,587,548,513,385
TMCC3,8,1,8,6,15,7,2,4,26,9,8,34
PITHD1,1167,1612,1075,1831,1452,1495,938,1286,825,1112,1164,951
MTA3,142,214,122,221,118,166,99,153,94,48,43,22
USP13,172,187,149,260,192,220,81,201,131,73,80,69
ATP11B,4486,5917,3858,6975,4401,4754,6058,7475,5052,5656,5788,4450
LAMC2,1,1,0,5,2,5,7,5,5,0,3,3
CDK14,1,0,1,1,0,0,0,0,0,10,0,0
SEC61A1,1518,2287,1561,2174,1912,1930,1359,1703,1215,1067,1162,1020
PPP1R12A,1850,2244,1637,2126,1602,1754,1439,1776,1463,1099,1309,911
RASGRF1,0,0,0,1,6,0,0,1,0,1,0,1
CAMK2B,0,1,0,1,0,0,6,3,0,0,1,2
CROCC,45,62,58,87,88,66,50,52,56,94,86,94
POLR3E,863,944,845,1117,991,1026,819,1324,739,614,624,708
ATP2B4,1203,1781,1400,2257,1679,1671,3126,3869,2375,3388,3552,3084
ZC3H11A,3155,4035,2979,3728,2983,3037,3741,4796,3170,3216,3493,2710
RIOK2,859,873,653,1000,529,709,536,673,507,391,428,337
YIPF1,156,214,164,196,157,137,132,225,151,96,81,95
NDC1,2206,2989,1996,2709,2032,2128,1497,1800,1215,811,904,639
DGKG,6,7,0,1,6,2,7,1,1,0,6,0
FLYWCH1,233,395,191,255,304,160,342,323,214,148,166,139
UNKL,74,72,77,157,104,109,121,167,158,172,194,116
TBXAS1,1,0,0,1,1,0,0,0,1,0,0,0
PARP12,51,66,45,57,63,40,51,65,36,97,86,75
ALDH18A1,904,1366,1018,1594,1501,1397,1412,1968,1340,1515,1835,1497
TARBP1,2096,2925,1888,2426,1749,1750,2670,3395,2332,1730,1890,1470
GATB,597,796,590,785,691,643,302,455,283,266,295,197
MXD1,454,687,376,490,533,469,679,819,515,372,575,413
CDK17,515,618,411,552,300,363,391,702,368,300,399,228
DNAJC25,224,299,183,251,187,183,162,190,154,135,119,88
SLC2A3,161,211,157,177,109,147,122,95,66,58,69,29
PSD,11,5,5,4,9,2,12,21,5,9,9,11
CTDP1,454,652,566,503,461,489,409,612,359,225,311,219
YBX3,1260,1823,1313,1916,1645,1470,1209,1934,1127,1598,2015,1426
STYK1,0,0,0,1,0,1,5,1,0,5,0,1
WNK1,1294,1589,1165,1629,1299,1330,2106,2584,1439,2267,2399,1788
RPS17P5,0,0,0,0,0,0,0,1,0,1,0,0
CCAR1,2437,3119,2059,3326,2281,2621,2094,2921,1954,1695,1991,1333
OGFR,297,433,353,361,344,296,237,328,214,193,186,170
GNA15,778,1175,876,1127,1189,1088,636,734,564,230,203,203
CREB3L3,0,1,0,2,4,2,6,19,8,10,3,8
PIGV,249,330,271,253,212,179,221,286,224,151,154,100
PTPRU,0,1,1,1,0,0,1,2,9,0,0,0
SNRNP40,1143,1578,1129,1676,1251,1375,1013,1362,948,751,880,686
RIMBP2,0,0,0,1,0,0,0,0,0,1,0,0
COL11A1,0,0,0,0,0,0,0,0,0,0,0,0
QSER1,1245,1551,1125,1226,835,993,944,1171,631,612,533,335
MPC1,758,1058,668,941,641,788,397,455,357,253,292,229
ACAA1,287,482,407,447,485,381,202,320,192,152,186,145
BCAT1,12276,15785,11014,15327,11014,11535,9500,12872,8281,7863,8873,6178
HDAC7,280,434,286,238,268,243,413,621,399,106,135,102
LZTS1,3,2,0,1,1,2,3,2,1,1,3,3
PRDM6,2,0,0,1,2,1,4,14,1,3,2,1
WNT8A,0,0,0,0,0,0,0,0,0,1,0,1
SPAG4,35,52,20,27,30,17,52,80,39,27,20,26
NCKAP1,1869,2316,1439,2078,1429,1565,1887,2460,1641,1671,1721,974
MRPS35,1270,1578,1079,1523,1127,1221,675,951,647,456,577,358
GUCY1B1,0,2,0,0,0,0,0,0,0,0,0,0
SFSWAP,909,949,666,850,747,671,702,1216,569,540,553,552
TNK2,94,167,100,144,137,54,131,179,108,225,219,198
MON2,1050,1567,1199,1432,941,1388,1678,2176,1442,1407,1381,841
CDH3,15,21,19,13,11,24,22,32,12,18,19,13
ARSF,0,0,1,0,1,0,0,0,0,0,0,0
